1757338628.642061 server started (19022): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1757338628.642099 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Jul 14 11:30:40 PDT 2025; root:xnu-11417.140.69~1/RELEASE_ARM64_T6041
1757338628.642108 using libevent 2.1.12-stable select
1757338628.642120 using utf8proc 2.10.0
1757338628.642127 using ncurses 6.5 20240427
1757338628.659540 cmd_parse_build_commands: swap-window -t :-1
1757338628.659543 cmd_parse_build_commands 0:0: swap-window
1757338628.659545 cmd_parse_build_commands 0:1: -t:+1
1757338628.659548 args_parse_flags: next -t:+1
1757338628.659550 args_parse_flag_argument: -t = :+1
1757338628.659553 args_parse: flags end at 2 of 2
1757338628.659556 cmd_parse_build_commands: swap-window -t :+1
1757338628.659559 cmd_parse_build_commands 0:0: swap-window
1757338628.659562 args_parse: flags end at 1 of 1
1757338628.659565 cmd_parse_build_commands: swap-window
1757338628.659568 cmd_parse_build_commands 0:0: kill-window
1757338628.659570 args_parse: flags end at 1 of 1
1757338628.659573 cmd_parse_build_commands: kill-window
1757338628.659576 cmd_parse_build_commands 0:0: respawn-window
1757338628.659578 cmd_parse_build_commands 0:1: -k
1757338628.659581 args_parse_flags: next -k
1757338628.659583 args_parse_flags: -k
1757338628.659585 args_parse: flags end at 2 of 2
1757338628.659589 cmd_parse_build_commands: respawn-window -k
1757338628.659592 cmd_parse_build_commands 0:0: select-pane
1757338628.659594 cmd_parse_build_commands 0:1: -m
1757338628.659596 args_parse_flags: next -m
1757338628.659599 args_parse_flags: -m
1757338628.659601 args_parse: flags end at 2 of 2
1757338628.659604 cmd_parse_build_commands: select-pane -m
1757338628.659607 cmd_parse_build_commands 0:0: command-prompt
1757338628.659609 cmd_parse_build_commands 0:1: -FI
1757338628.659611 cmd_parse_build_commands 0:2: #W
1757338628.659613 cmd_parse_build_commands 0:3 0:0: rename-window
1757338628.659615 cmd_parse_build_commands 0:3 0:1: -t
1757338628.659618 cmd_parse_build_commands 0:3 0:2: #{window_id}
1757338628.659620 cmd_parse_build_commands 0:3 0:3: --
1757338628.659622 cmd_parse_build_commands 0:3 0:4: %%
1757338628.659624 cmd_parse_build_commands 0:0: rename-window
1757338628.659626 cmd_parse_build_commands 0:1: -t
1757338628.659629 cmd_parse_build_commands 0:2: #{window_id}
1757338628.659631 cmd_parse_build_commands 0:3: --
1757338628.659633 cmd_parse_build_commands 0:4: %%
1757338628.659636 args_parse_flags: next -t
1757338628.659638 args_parse_flag_argument: -t = #{window_id}
1757338628.659640 args_parse_flags: next --
1757338628.659642 args_parse: flags end at 4 of 5
1757338628.659645 args_parse: 4 = %% (type STRING)
1757338628.659649 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1757338628.659655 args_parse_flags: next -FI
1757338628.659657 args_parse_flags: -F
1757338628.659659 args_parse_flag_argument: -I = #W
1757338628.659661 args_parse: flags end at 3 of 4
1757338628.659665 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1757338628.659672 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1757338628.659675 cmd_parse_build_commands 0:0: new-window
1757338628.659677 cmd_parse_build_commands 0:1: -a
1757338628.659680 args_parse_flags: next -a
1757338628.659682 args_parse_flags: -a
1757338628.659684 args_parse: flags end at 2 of 2
1757338628.659687 cmd_parse_build_commands: new-window -a
1757338628.659690 cmd_parse_build_commands 0:0: new-window
1757338628.659693 args_parse: flags end at 1 of 1
1757338628.659696 cmd_parse_build_commands: new-window
1757338628.659698 args_parse_flags: next -t=
1757338628.659700 args_parse_flag_argument: -t = =
1757338628.659702 args_parse_flags: next -xW
1757338628.659704 args_parse_flag_argument: -x = W
1757338628.659706 args_parse_flags: next -yW
1757338628.659708 args_parse_flag_argument: -y = W
1757338628.659710 args_parse_flags: next -T
1757338628.659713 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1757338628.659715 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1757338628.659717 args_parse: flags end at 6 of 35
1757338628.659720 args_parse: 6 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1757338628.659722 args_parse: 7 = l (type STRING)
1757338628.659726 args_parse: 8 = swap-window -t :-1 (type COMMANDS)
1757338628.659728 args_parse: 9 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1757338628.659731 args_parse: 10 = r (type STRING)
1757338628.659734 args_parse: 11 = swap-window -t :+1 (type COMMANDS)
1757338628.659737 args_parse: 12 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1757338628.659739 args_parse: 13 = s (type STRING)
1757338628.659742 args_parse: 14 = swap-window (type COMMANDS)
1757338628.659744 args_parse: 15 =  (type STRING)
1757338628.659746 args_parse: 16 = Kill (type STRING)
1757338628.659749 args_parse: 17 = X (type STRING)
1757338628.659751 args_parse: 18 = kill-window (type COMMANDS)
1757338628.659754 args_parse: 19 = Respawn (type STRING)
1757338628.659756 args_parse: 20 = R (type STRING)
1757338628.659759 args_parse: 21 = respawn-window -k (type COMMANDS)
1757338628.659762 args_parse: 22 = #{?pane_marked,Unmark,Mark} (type STRING)
1757338628.659764 args_parse: 23 = m (type STRING)
1757338628.659767 args_parse: 24 = select-pane -m (type COMMANDS)
1757338628.659769 args_parse: 25 = Rename (type STRING)
1757338628.659772 args_parse: 26 = n (type STRING)
1757338628.659778 args_parse: 27 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1757338628.659780 args_parse: 28 =  (type STRING)
1757338628.659783 args_parse: 29 = New After (type STRING)
1757338628.659785 args_parse: 30 = w (type STRING)
1757338628.659788 args_parse: 31 = new-window -a (type COMMANDS)
1757338628.659791 args_parse: 32 = New At End (type STRING)
1757338628.659793 args_parse: 33 = W (type STRING)
1757338628.659796 args_parse: 34 = new-window (type COMMANDS)
1757338628.659832 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1757338628.659834 args_parse_flags: next -n
1757338628.659836 args_parse_flags: -n
1757338628.659839 args_parse_flags: next M-MouseDown3Status
1757338628.659841 args_parse: flags end at 2 of 4
1757338628.659843 args_parse: 2 = M-MouseDown3Status (type STRING)
1757338628.659878 args_parse: 3 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1757338628.659916 cmd_parse_build_commands: bind-key -n M-MouseDown3Status { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1757338628.659926 cmdq_get_command: [bind-key/0x14b728360] group 1086
1757338628.659929 cmdq_append <global>: [bind-key/0x14b728360]
1757338628.659931 yylex_token: end at WS
1757338628.659933 yylex_token: bind
1757338628.659935 yylex_token: end at WS
1757338628.659937 yylex_token: -n
1757338628.659940 yylex_token: end at WS
1757338628.659942 yylex_token: MouseDown3Pane
1757338628.659944 yylex_token: end at WS
1757338628.659946 yylex_token: if
1757338628.659948 yylex_token: end at WS
1757338628.659950 yylex_token: -Ft=
1757338628.659955 yylex_token: end at WS
1757338628.659958 yylex_token: #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1757338628.659960 yylex_token: end at WS
1757338628.659962 yylex_token: select-pane
1757338628.659964 yylex_token: end at ;
1757338628.659966 yylex_token: -t=
1757338628.659968 yylex_token: end at WS
1757338628.659970 yylex_token: send
1757338628.659972 yylex_token: end at WS
1757338628.659974 yylex_token: -M
1757338628.659977 yylex_token: end at WS
1757338628.659979 yylex_token: display-menu
1757338628.659981 yylex_token: end at WS
1757338628.659983 yylex_token: -t=
1757338628.659985 yylex_token: end at WS
1757338628.659987 yylex_token: -xM
1757338628.659989 yylex_token: end at WS
1757338628.659991 yylex_token: -yM
1757338628.659993 yylex_token: end at WS
1757338628.659995 yylex_token: -T
1757338628.659998 yylex_token: end at WS
1757338628.660000 yylex_token: #[align=centre]#{pane_index} (#{pane_id})
1757338628.660004 yylex_token: end at WS
1757338628.660007 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1757338628.660009 yylex_token: end at WS
1757338628.660011 yylex_token: <
1757338628.660013 yylex_token: end at WS
1757338628.660015 yylex_token: send
1757338628.660017 yylex_token: end at WS
1757338628.660019 yylex_token: -X
1757338628.660021 yylex_token: end at }
1757338628.660023 yylex_token: history-top
1757338628.660027 yylex_token: end at WS
1757338628.660029 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1757338628.660032 yylex_token: end at WS
1757338628.660033 yylex_token: >
1757338628.660036 yylex_token: end at WS
1757338628.660037 yylex_token: send
1757338628.660039 yylex_token: end at WS
1757338628.660041 yylex_token: -X
1757338628.660044 yylex_token: end at }
1757338628.660046 yylex_token: history-bottom
1757338628.660048 yylex_token: end at WS
1757338628.660050 yylex_token: 
1757338628.660054 yylex_token: end at WS
1757338628.660056 yylex_token: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1757338628.660058 yylex_token: end at WS
1757338628.660060 yylex_token: C-r
1757338628.660062 yylex_token: end at WS
1757338628.660064 yylex_token: if
1757338628.660066 yylex_token: end at WS
1757338628.660068 yylex_token: -F
1757338628.660072 yylex_token: end at WS
1757338628.660074 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1757338628.660080 yylex_token: end at ;
1757338628.660082 yylex_token: copy-mode -t=
1757338628.660085 yylex_token: end at WS
1757338628.660087 yylex_token: send
1757338628.660089 yylex_token: end at WS
1757338628.660091 yylex_token: -Xt=
1757338628.660093 yylex_token: end at WS
1757338628.660095 yylex_token: search-backward
1757338628.660098 yylex_token: end at }
1757338628.660100 yylex_token: #{q:mouse_word}
1757338628.660105 yylex_token: end at WS
1757338628.660107 yylex_token: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1757338628.660109 yylex_token: end at WS
1757338628.660111 yylex_token: C-y
1757338628.660113 yylex_token: end at WS
1757338628.660115 yylex_token: copy-mode
1757338628.660117 yylex_token: end at ;
1757338628.660119 yylex_token: -q
1757338628.660122 yylex_token: end at WS
1757338628.660124 yylex_token: send-keys
1757338628.660126 yylex_token: end at WS
1757338628.660128 yylex_token: -l
1757338628.660130 yylex_token: end at WS
1757338628.660132 yylex_token: --
1757338628.660134 yylex_token: end at }
1757338628.660136 yylex_token: #{q:mouse_word}
1757338628.660141 yylex_token: end at WS
1757338628.660143 yylex_token: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1757338628.660145 yylex_token: end at WS
1757338628.660148 yylex_token: c
1757338628.660150 yylex_token: end at WS
1757338628.660152 yylex_token: copy-mode
1757338628.660154 yylex_token: end at ;
1757338628.660156 yylex_token: -q
1757338628.660159 yylex_token: end at WS
1757338628.660161 yylex_token: set-buffer
1757338628.660163 yylex_token: end at WS
1757338628.660165 yylex_token: --
1757338628.660167 yylex_token: end at }
1757338628.660169 yylex_token: #{q:mouse_word}
1757338628.660173 yylex_token: end at WS
1757338628.660175 yylex_token: #{?mouse_line,Copy Line,}
1757338628.660177 yylex_token: end at WS
1757338628.660179 yylex_token: l
1757338628.660181 yylex_token: end at WS
1757338628.660183 yylex_token: copy-mode
1757338628.660185 yylex_token: end at ;
1757338628.660187 yylex_token: -q
1757338628.660190 yylex_token: end at WS
1757338628.660192 yylex_token: set-buffer
1757338628.660194 yylex_token: end at WS
1757338628.660196 yylex_token: --
1757338628.660198 yylex_token: end at }
1757338628.660200 yylex_token: #{q:mouse_line}
1757338628.660203 yylex_token: end at WS
1757338628.660205 yylex_token: 
1757338628.660209 yylex_token: end at WS
1757338628.660211 yylex_token: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1757338628.660213 yylex_token: end at WS
1757338628.660215 yylex_token: C-h
1757338628.660218 yylex_token: end at WS
1757338628.660220 yylex_token: copy-mode
1757338628.660222 yylex_token: end at ;
1757338628.660224 yylex_token: -q
1757338628.660226 yylex_token: end at WS
1757338628.660228 yylex_token: send-keys
1757338628.660230 yylex_token: end at WS
1757338628.660232 yylex_token: -l
1757338628.660234 yylex_token: end at WS
1757338628.660236 yylex_token: --
1757338628.660239 yylex_token: end at }
1757338628.660241 yylex_token: #{q:mouse_hyperlink}
1757338628.660246 yylex_token: end at WS
1757338628.660248 yylex_token: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1757338628.660250 yylex_token: end at WS
1757338628.660252 yylex_token: h
1757338628.660255 yylex_token: end at WS
1757338628.660257 yylex_token: copy-mode
1757338628.660259 yylex_token: end at ;
1757338628.660261 yylex_token: -q
1757338628.660263 yylex_token: end at WS
1757338628.660265 yylex_token: set-buffer
1757338628.660267 yylex_token: end at WS
1757338628.660269 yylex_token: --
1757338628.660272 yylex_token: end at }
1757338628.660274 yylex_token: #{q:mouse_hyperlink}
1757338628.660276 yylex_token: end at WS
1757338628.660278 yylex_token: 
1757338628.660281 yylex_token: end at WS
1757338628.660283 yylex_token: Horizontal Split
1757338628.660285 yylex_token: end at WS
1757338628.660287 yylex_token: h
1757338628.660289 yylex_token: end at WS
1757338628.660291 yylex_token: split-window
1757338628.660293 yylex_token: end at }
1757338628.660295 yylex_token: -h
1757338628.660298 yylex_token: end at WS
1757338628.660303 yylex_token: Vertical Split
1757338628.660305 yylex_token: end at WS
1757338628.660307 yylex_token: v
1757338628.660309 yylex_token: end at WS
1757338628.660311 yylex_token: split-window
1757338628.660313 yylex_token: end at }
1757338628.660315 yylex_token: -v
1757338628.660317 yylex_token: end at WS
1757338628.660319 yylex_token: 
1757338628.660323 yylex_token: end at WS
1757338628.660325 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Up
1757338628.660327 yylex_token: end at WS
1757338628.660329 yylex_token: u
1757338628.660331 yylex_token: end at WS
1757338628.660333 yylex_token: swap-pane
1757338628.660335 yylex_token: end at }
1757338628.660337 yylex_token: -U
1757338628.660341 yylex_token: end at WS
1757338628.660343 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Down
1757338628.660345 yylex_token: end at WS
1757338628.660347 yylex_token: d
1757338628.660349 yylex_token: end at WS
1757338628.660351 yylex_token: swap-pane
1757338628.660353 yylex_token: end at }
1757338628.660356 yylex_token: -D
1757338628.660359 yylex_token: end at WS
1757338628.660361 yylex_token: #{?pane_marked_set,,-}Swap Marked
1757338628.660363 yylex_token: end at WS
1757338628.660365 yylex_token: s
1757338628.660368 yylex_token: end at }
1757338628.660370 yylex_token: swap-pane
1757338628.660372 yylex_token: end at WS
1757338628.660374 yylex_token: 
1757338628.660376 yylex_token: end at WS
1757338628.660378 yylex_token: Kill
1757338628.660380 yylex_token: end at WS
1757338628.660382 yylex_token: X
1757338628.660384 yylex_token: end at }
1757338628.660386 yylex_token: kill-pane
1757338628.660389 yylex_token: end at WS
1757338628.660391 yylex_token: Respawn
1757338628.660393 yylex_token: end at WS
1757338628.660395 yylex_token: R
1757338628.660397 yylex_token: end at WS
1757338628.660401 yylex_token: respawn-pane
1757338628.660403 yylex_token: end at }
1757338628.660405 yylex_token: -k
1757338628.660408 yylex_token: end at WS
1757338628.660410 yylex_token: #{?pane_marked,Unmark,Mark}
1757338628.660413 yylex_token: end at WS
1757338628.660414 yylex_token: m
1757338628.660417 yylex_token: end at WS
1757338628.660419 yylex_token: select-pane
1757338628.660421 yylex_token: end at }
1757338628.660423 yylex_token: -m
1757338628.660428 yylex_token: end at WS
1757338628.660430 yylex_token: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1757338628.660432 yylex_token: end at WS
1757338628.660434 yylex_token: z
1757338628.660436 yylex_token: end at WS
1757338628.660438 yylex_token: resize-pane
1757338628.660440 yylex_token: end at }
1757338628.660442 yylex_token: -Z
1757338628.660446 cmd_parse_build_commands 0:0: bind
1757338628.660448 cmd_parse_build_commands 0:1: -n
1757338628.660450 cmd_parse_build_commands 0:2: MouseDown3Pane
1757338628.660453 cmd_parse_build_commands 0:3 0:0: if
1757338628.660455 cmd_parse_build_commands 0:3 0:1: -Ft=
1757338628.660457 cmd_parse_build_commands 0:3 0:2: #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1757338628.660460 cmd_parse_build_commands 0:3 0:3 0:0: select-pane
1757338628.660462 cmd_parse_build_commands 0:3 0:3 0:1: -t=
1757338628.660464 cmd_parse_build_commands 0:3 0:3 1:0: send
1757338628.660467 cmd_parse_build_commands 0:3 0:3 1:1: -M
1757338628.660469 cmd_parse_build_commands 0:3 0:4 0:0: display-menu
1757338628.660471 cmd_parse_build_commands 0:3 0:4 0:1: -t=
1757338628.660474 cmd_parse_build_commands 0:3 0:4 0:2: -xM
1757338628.660476 cmd_parse_build_commands 0:3 0:4 0:3: -yM
1757338628.660478 cmd_parse_build_commands 0:3 0:4 0:4: -T
1757338628.660480 cmd_parse_build_commands 0:3 0:4 0:5: #[align=centre]#{pane_index} (#{pane_id})
1757338628.660482 cmd_parse_build_commands 0:3 0:4 0:6: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1757338628.660485 cmd_parse_build_commands 0:3 0:4 0:7: <
1757338628.660487 cmd_parse_build_commands 0:3 0:4 0:8 0:0: send
1757338628.660489 cmd_parse_build_commands 0:3 0:4 0:8 0:1: -X
1757338628.660492 cmd_parse_build_commands 0:3 0:4 0:8 0:2: history-top
1757338628.660494 cmd_parse_build_commands 0:3 0:4 0:9: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1757338628.660500 cmd_parse_build_commands 0:3 0:4 0:10: >
1757338628.660502 cmd_parse_build_commands 0:3 0:4 0:11 0:0: send
1757338628.660504 cmd_parse_build_commands 0:3 0:4 0:11 0:1: -X
1757338628.660507 cmd_parse_build_commands 0:3 0:4 0:11 0:2: history-bottom
1757338628.660509 cmd_parse_build_commands 0:3 0:4 0:12: 
1757338628.660511 cmd_parse_build_commands 0:3 0:4 0:13: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1757338628.660513 cmd_parse_build_commands 0:3 0:4 0:14: C-r
1757338628.660516 cmd_parse_build_commands 0:3 0:4 0:15 0:0: if
1757338628.660518 cmd_parse_build_commands 0:3 0:4 0:15 0:1: -F
1757338628.660520 cmd_parse_build_commands 0:3 0:4 0:15 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1757338628.660523 cmd_parse_build_commands 0:3 0:4 0:15 0:3: copy-mode -t=
1757338628.660525 cmd_parse_build_commands 0:3 0:4 0:15 1:0: send
1757338628.660527 cmd_parse_build_commands 0:3 0:4 0:15 1:1: -Xt=
1757338628.660529 cmd_parse_build_commands 0:3 0:4 0:15 1:2: search-backward
1757338628.660531 cmd_parse_build_commands 0:3 0:4 0:15 1:3: #{q:mouse_word}
1757338628.660534 cmd_parse_build_commands 0:3 0:4 0:16: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1757338628.660536 cmd_parse_build_commands 0:3 0:4 0:17: C-y
1757338628.660538 cmd_parse_build_commands 0:3 0:4 0:18 0:0: copy-mode
1757338628.660541 cmd_parse_build_commands 0:3 0:4 0:18 0:1: -q
1757338628.660543 cmd_parse_build_commands 0:3 0:4 0:18 1:0: send-keys
1757338628.660545 cmd_parse_build_commands 0:3 0:4 0:18 1:1: -l
1757338628.660548 cmd_parse_build_commands 0:3 0:4 0:18 1:2: --
1757338628.660550 cmd_parse_build_commands 0:3 0:4 0:18 1:3: #{q:mouse_word}
1757338628.660552 cmd_parse_build_commands 0:3 0:4 0:19: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1757338628.660554 cmd_parse_build_commands 0:3 0:4 0:20: c
1757338628.660557 cmd_parse_build_commands 0:3 0:4 0:21 0:0: copy-mode
1757338628.660559 cmd_parse_build_commands 0:3 0:4 0:21 0:1: -q
1757338628.660561 cmd_parse_build_commands 0:3 0:4 0:21 1:0: set-buffer
1757338628.660563 cmd_parse_build_commands 0:3 0:4 0:21 1:1: --
1757338628.660565 cmd_parse_build_commands 0:3 0:4 0:21 1:2: #{q:mouse_word}
1757338628.660567 cmd_parse_build_commands 0:3 0:4 0:22: #{?mouse_line,Copy Line,}
1757338628.660570 cmd_parse_build_commands 0:3 0:4 0:23: l
1757338628.660572 cmd_parse_build_commands 0:3 0:4 0:24 0:0: copy-mode
1757338628.660574 cmd_parse_build_commands 0:3 0:4 0:24 0:1: -q
1757338628.660576 cmd_parse_build_commands 0:3 0:4 0:24 1:0: set-buffer
1757338628.660578 cmd_parse_build_commands 0:3 0:4 0:24 1:1: --
1757338628.660580 cmd_parse_build_commands 0:3 0:4 0:24 1:2: #{q:mouse_line}
1757338628.660582 cmd_parse_build_commands 0:3 0:4 0:25: 
1757338628.660585 cmd_parse_build_commands 0:3 0:4 0:26: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1757338628.660587 cmd_parse_build_commands 0:3 0:4 0:27: C-h
1757338628.660589 cmd_parse_build_commands 0:3 0:4 0:28 0:0: copy-mode
1757338628.660591 cmd_parse_build_commands 0:3 0:4 0:28 0:1: -q
1757338628.660593 cmd_parse_build_commands 0:3 0:4 0:28 1:0: send-keys
1757338628.660596 cmd_parse_build_commands 0:3 0:4 0:28 1:1: -l
1757338628.660598 cmd_parse_build_commands 0:3 0:4 0:28 1:2: --
1757338628.660600 cmd_parse_build_commands 0:3 0:4 0:28 1:3: #{q:mouse_hyperlink}
1757338628.660602 cmd_parse_build_commands 0:3 0:4 0:29: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1757338628.660604 cmd_parse_build_commands 0:3 0:4 0:30: h
1757338628.660607 cmd_parse_build_commands 0:3 0:4 0:31 0:0: copy-mode
1757338628.660609 cmd_parse_build_commands 0:3 0:4 0:31 0:1: -q
1757338628.660611 cmd_parse_build_commands 0:3 0:4 0:31 1:0: set-buffer
1757338628.660613 cmd_parse_build_commands 0:3 0:4 0:31 1:1: --
1757338628.660615 cmd_parse_build_commands 0:3 0:4 0:31 1:2: #{q:mouse_hyperlink}
1757338628.660617 cmd_parse_build_commands 0:3 0:4 0:32: 
1757338628.660619 cmd_parse_build_commands 0:3 0:4 0:33: Horizontal Split
1757338628.660624 cmd_parse_build_commands 0:3 0:4 0:34: h
1757338628.660627 cmd_parse_build_commands 0:3 0:4 0:35 0:0: split-window
1757338628.660629 cmd_parse_build_commands 0:3 0:4 0:35 0:1: -h
1757338628.660631 cmd_parse_build_commands 0:3 0:4 0:36: Vertical Split
1757338628.660633 cmd_parse_build_commands 0:3 0:4 0:37: v
1757338628.660636 cmd_parse_build_commands 0:3 0:4 0:38 0:0: split-window
1757338628.660638 cmd_parse_build_commands 0:3 0:4 0:38 0:1: -v
1757338628.660640 cmd_parse_build_commands 0:3 0:4 0:39: 
1757338628.660642 cmd_parse_build_commands 0:3 0:4 0:40: #{?#{>:#{window_panes},1},,-}Swap Up
1757338628.660644 cmd_parse_build_commands 0:3 0:4 0:41: u
1757338628.660646 cmd_parse_build_commands 0:3 0:4 0:42 0:0: swap-pane
1757338628.660648 cmd_parse_build_commands 0:3 0:4 0:42 0:1: -U
1757338628.660651 cmd_parse_build_commands 0:3 0:4 0:43: #{?#{>:#{window_panes},1},,-}Swap Down
1757338628.660653 cmd_parse_build_commands 0:3 0:4 0:44: d
1757338628.660655 cmd_parse_build_commands 0:3 0:4 0:45 0:0: swap-pane
1757338628.660657 cmd_parse_build_commands 0:3 0:4 0:45 0:1: -D
1757338628.660659 cmd_parse_build_commands 0:3 0:4 0:46: #{?pane_marked_set,,-}Swap Marked
1757338628.660661 cmd_parse_build_commands 0:3 0:4 0:47: s
1757338628.660664 cmd_parse_build_commands 0:3 0:4 0:48 0:0: swap-pane
1757338628.660666 cmd_parse_build_commands 0:3 0:4 0:49: 
1757338628.660668 cmd_parse_build_commands 0:3 0:4 0:50: Kill
1757338628.660670 cmd_parse_build_commands 0:3 0:4 0:51: X
1757338628.660672 cmd_parse_build_commands 0:3 0:4 0:52 0:0: kill-pane
1757338628.660674 cmd_parse_build_commands 0:3 0:4 0:53: Respawn
1757338628.660676 cmd_parse_build_commands 0:3 0:4 0:54: R
1757338628.660679 cmd_parse_build_commands 0:3 0:4 0:55 0:0: respawn-pane
1757338628.660681 cmd_parse_build_commands 0:3 0:4 0:55 0:1: -k
1757338628.660683 cmd_parse_build_commands 0:3 0:4 0:56: #{?pane_marked,Unmark,Mark}
1757338628.660686 cmd_parse_build_commands 0:3 0:4 0:57: m
1757338628.660688 cmd_parse_build_commands 0:3 0:4 0:58 0:0: select-pane
1757338628.660690 cmd_parse_build_commands 0:3 0:4 0:58 0:1: -m
1757338628.660692 cmd_parse_build_commands 0:3 0:4 0:59: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1757338628.660695 cmd_parse_build_commands 0:3 0:4 0:60: z
1757338628.660697 cmd_parse_build_commands 0:3 0:4 0:61 0:0: resize-pane
1757338628.660699 cmd_parse_build_commands 0:3 0:4 0:61 0:1: -Z
1757338628.660702 cmd_parse_build_commands 0:0: if
1757338628.660705 cmd_parse_build_commands 0:1: -Ft=
1757338628.660707 cmd_parse_build_commands 0:2: #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1757338628.660710 cmd_parse_build_commands 0:3 0:0: select-pane
1757338628.660712 cmd_parse_build_commands 0:3 0:1: -t=
1757338628.660714 cmd_parse_build_commands 0:3 1:0: send
1757338628.660716 cmd_parse_build_commands 0:3 1:1: -M
1757338628.660718 cmd_parse_build_commands 0:4 0:0: display-menu
1757338628.660720 cmd_parse_build_commands 0:4 0:1: -t=
1757338628.660723 cmd_parse_build_commands 0:4 0:2: -xM
1757338628.660725 cmd_parse_build_commands 0:4 0:3: -yM
1757338628.660727 cmd_parse_build_commands 0:4 0:4: -T
1757338628.660729 cmd_parse_build_commands 0:4 0:5: #[align=centre]#{pane_index} (#{pane_id})
1757338628.660731 cmd_parse_build_commands 0:4 0:6: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1757338628.660734 cmd_parse_build_commands 0:4 0:7: <
1757338628.660736 cmd_parse_build_commands 0:4 0:8 0:0: send
